PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30710543","Artificial Intelligence Transforms the Future of Health Care","Noorbakhsh-Sabet N, Zand R, Zhang Y, Abedi V.","Am J Med. 2019 Jul;132(7):795-801. doi: 10.1016/j.amjmed.2019.01.017. Epub 2019 Jan 31.","Noorbakhsh-Sabet N","Am J Med","2019","2019/02/03","PMC6669105","NIHMS1523126","10.1016/j.amjmed.2019.01.017"
"31293245","Artificial Intelligence and the Implementation Challenge","Shaw J, Rudzicz F, Jamieson T, Goldfarb A.","J Med Internet Res. 2019 Jul 10;21(7):e13659. doi: 10.2196/13659.","Shaw J","J Med Internet Res","2019","2019/07/12","PMC6652121","","10.2196/13659"
"33057217","Transparency and reproducibility in artificial intelligence","Haibe-Kains B, Adam GA, Hosny A, Khodakarami F; Massive Analysis Quality Control (MAQC) Society Board of Directors, Waldron L, Wang B, McIntosh C, Goldenberg A, Kundaje A, Greene CS, Broderick T, Hoffman MM, Leek JT, Korthauer K, Huber W, Brazma A, Pineau J, Tibshirani R, Hastie T, Ioannidis JPA, Quackenbush J, Aerts HJWL.","Nature. 2020 Oct;586(7829):E14-E16. doi: 10.1038/s41586-020-2766-y. Epub 2020 Oct 14.","Haibe-Kains B","Nature","2020","2020/10/15","PMC8144864","NIHMS1699061","10.1038/s41586-020-2766-y"
"31320117","Advancing Drug Discovery via Artificial Intelligence","Chan HCS, Shan H, Dahoun T, Vogel H, Yuan S.","Trends Pharmacol Sci. 2019 Aug;40(8):592-604. doi: 10.1016/j.tips.2019.06.004. Epub 2019 Jul 15.","Chan HCS","Trends Pharmacol Sci","2019","2019/07/20","","","10.1016/j.tips.2019.06.004"
"31900465","Harnessing big 'omics' data and AI for drug discovery in hepatocellular carcinoma","Chen B, Garmire L, Calvisi DF, Chua MS, Kelley RK, Chen X.","Nat Rev Gastroenterol Hepatol. 2020 Apr;17(4):238-251. doi: 10.1038/s41575-019-0240-9. Epub 2020 Jan 3.","Chen B","Nat Rev Gastroenterol Hepatol","2020","2020/01/05","PMC7401304","NIHMS1614487","10.1038/s41575-019-0240-9"
"31151893","A Road Map for Translational Research on Artificial Intelligence in Medical Imaging: From the 2018 National Institutes of Health/RSNA/ACR/The Academy Workshop","Allen B Jr, Seltzer SE, Langlotz CP, Dreyer KP, Summers RM, Petrick N, Marinac-Dabic D, Cruz M, Alkasab TK, Hanisch RJ, Nilsen WJ, Burleson J, Lyman K, Kandarpa K.","J Am Coll Radiol. 2019 Sep;16(9 Pt A):1179-1189. doi: 10.1016/j.jacr.2019.04.014. Epub 2019 May 28.","Allen B Jr","J Am Coll Radiol","2019","2019/06/02","","","10.1016/j.jacr.2019.04.014"
"31735721","Translational Research-For the Individual and the Community","Kimberly RP.","J Health Care Poor Underserved. 2019;30(4S):79-85. doi: 10.1353/hpu.2019.0118.","Kimberly RP","J Health Care Poor Underserved","2019","2019/11/19","PMC7568230","NIHMS1635036","10.1353/hpu.2019.0118"
"32347446","Artificial Intelligence and Machine Learning for HIV Prevention: Emerging Approaches to Ending the Epidemic","Marcus JL, Sewell WC, Balzer LB, Krakower DS.","Curr HIV/AIDS Rep. 2020 Jun;17(3):171-179. doi: 10.1007/s11904-020-00490-6.","Marcus JL","Curr HIV/AIDS Rep","2020","2020/04/30","PMC7260108","NIHMS1589053","10.1007/s11904-020-00490-6"
"32823310","Ontologies, Knowledge Representation, and Machine Learning for Translational Research: Recent Contributions","Robinson PN, Haendel MA.","Yearb Med Inform. 2020 Aug;29(1):159-162. doi: 10.1055/s-0040-1701991. Epub 2020 Aug 21.","Robinson PN","Yearb Med Inform","2020","2020/08/22","PMC7442528","","10.1055/s-0040-1701991"
"33469745","From Code to Bedside: Implementing Artificial Intelligence Using Quality Improvement Methods","Smith M, Sattler A, Hong G, Lin S.","J Gen Intern Med. 2021 Apr;36(4):1061-1066. doi: 10.1007/s11606-020-06394-w. Epub 2021 Jan 19.","Smith M","J Gen Intern Med","2021","2021/01/20","PMC8041947","","10.1007/s11606-020-06394-w"
"32924178","The future is now? Clinical and translational aspects of ""Omics"" technologies","D'Adamo GL, Widdop JT, Giles EM.","Immunol Cell Biol. 2021 Feb;99(2):168-176. doi: 10.1111/imcb.12404. Epub 2020 Oct 12.","D'Adamo GL","Immunol Cell Biol","2021","2020/09/14","","","10.1111/imcb.12404"
"31419831","Contributions from the 2018 Literature on Bioinformatics and Translational Informatics","Smaïl-Tabbone M, Rance B; Section Editors for the IMIA Yearbook Section on Bioinformatics and Translational Informatics.","Yearb Med Inform. 2019 Aug;28(1):190-193. doi: 10.1055/s-0039-1677945. Epub 2019 Aug 16.","Smaïl-Tabbone M","Yearb Med Inform","2019","2019/08/17","PMC6697500","","10.1055/s-0039-1677945"
"32462884","Emerging Pharmacotherapy and Health Care Needs of Patients in the Age of Artificial Intelligence and Digitalization","Zarowitz BJ.","Ann Pharmacother. 2020 Oct;54(10):1038-1046. doi: 10.1177/1060028020919383. Epub 2020 May 28.","Zarowitz BJ","Ann Pharmacother","2020","2020/05/29","","","10.1177/1060028020919383"
"32249735","Connecting Data to Value: An Operating Model for Healthcare Advanced Analytics","Caesar MCW, Hakim Z, Ierasts T.","Healthc Q. 2020 Apr;23(1):20-27. doi: 10.12927/hcq.2020.26143.","Caesar MCW","Healthc Q","2020","2020/04/07","","","10.12927/hcq.2020.26143"
"32041690","The Development of a Practical Artificial Intelligence Tool for Diagnosing and Evaluating Autism Spectrum Disorder: Multicenter Study","Chen T, Chen Y, Yuan M, Gerstein M, Li T, Liang H, Froehlich T, Lu L.","JMIR Med Inform. 2020 May 8;8(5):e15767. doi: 10.2196/15767.","Chen T","JMIR Med Inform","2020","2020/02/12","PMC7244998","","10.2196/15767"
"32249734","Connecting Data to Insight: A Pan-Canadian Study on AI in Healthcare","Hakim Z, Ierasts T, Hakim I, D'Penha A, Smith KPD, Caesar MCW.","Healthc Q. 2020 Apr;23(1):13-19. doi: 10.12927/hcq.2020.26144.","Hakim Z","Healthc Q","2020","2020/04/07","","","10.12927/hcq.2020.26144"
"31527579","Are radiomics ready for clinical prime-time in PET/CT imaging?","Cheze Le Rest C, Hustinx R.","Q J Nucl Med Mol Imaging. 2019 Dec;63(4):347-354. doi: 10.23736/S1824-4785.19.03210-2. Epub 2019 Sep 13.","Cheze Le Rest C","Q J Nucl Med Mol Imaging","2019","2019/09/19","","","10.23736/S1824-4785.19.03210-2"
"31466916","Looking beyond the hype: Applied AI and machine learning in translational medicine","Toh TS, Dondelinger F, Wang D.","EBioMedicine. 2019 Sep;47:607-615. doi: 10.1016/j.ebiom.2019.08.027. Epub 2019 Aug 26.","Toh TS","EBioMedicine","2019","2019/08/31","PMC6796516","","10.1016/j.ebiom.2019.08.027"
"32398841","The ORNATE India Project: United Kingdom-India Research Collaboration to tackle visual impairment due to diabetic retinopathy","Sivaprasad S, Raman R, Conroy D, Mohan 5th, Wittenberg R, Rajalakshmi R, Majeed A, Krishnakumar S, Prevost T, Parameswaran S, Turowski P, Maheswari U, Khobragade R, Netuveli G, Sadanandan R, Greenwood J, Ramasamy K, Rao M, Bergeles C, Das T; ORNATE India Project Group.","Eye (Lond). 2020 Jul;34(7):1279-1286. doi: 10.1038/s41433-020-0854-8. Epub 2020 May 12.","Sivaprasad S","Eye (Lond)","2020","2020/05/14","PMC7314790","","10.1038/s41433-020-0854-8"
"29293405","Birth of Industry 5.0: Making Sense of Big Data with Artificial Intelligence, ""The Internet of Things"" and Next-Generation Technology Policy","Özdemir V, Hekim N.","OMICS. 2018 Jan;22(1):65-76. doi: 10.1089/omi.2017.0194. Epub 2018 Jan 2.","Özdemir V","OMICS","2018","2018/01/03","","","10.1089/omi.2017.0194"
"23564629","Evaluating temporal relations in clinical text: 2012 i2b2 Challenge","Sun W, Rumshisky A, Uzuner O.","J Am Med Inform Assoc. 2013 Sep-Oct;20(5):806-13. doi: 10.1136/amiajnl-2013-001628. Epub 2013 Apr 5.","Sun W","J Am Med Inform Assoc","2013","2013/04/09","PMC3756273","","10.1136/amiajnl-2013-001628"
"34003504","Artificial intelligence in nursing: Priorities and opportunities from an international invitational think-tank of the Nursing and Artificial Intelligence Leadership Collaborative","Ronquillo CE, Peltonen LM, Pruinelli L, Chu CH, Bakken S, Beduschi A, Cato K, Hardiker N, Junger A, Michalowski M, Nyrup R, Rahimi S, Reed DN, Salakoski T, Salanterä S, Walton N, Weber P, Wiegand T, Topaz M.","J Adv Nurs. 2021 Sep;77(9):3707-3717. doi: 10.1111/jan.14855. Epub 2021 May 18.","Ronquillo CE","J Adv Nurs","2021","2021/05/18","","","10.1111/jan.14855"
"29981720","Developing Faculty in Emerging Areas of Interdisciplinary Research","Coleman DL, Tannock LR, Pignone M, Amin AN, Finn PW.","Am J Med. 2018 Oct;131(10):1257-1262. doi: 10.1016/j.amjmed.2018.06.009. Epub 2018 Jul 5.","Coleman DL","Am J Med","2018","2018/07/09","","","10.1016/j.amjmed.2018.06.009"
"30125150","Insights into Pathogenic Interactions Among Environment, Host, and Tumor at the Crossroads of Molecular Pathology and Epidemiology","Ogino S, Nowak JA, Hamada T, Milner DA Jr, Nishihara R.","Annu Rev Pathol. 2019 Jan 24;14:83-103. doi: 10.1146/annurev-pathmechdis-012418-012818. Epub 2018 Aug 20.","Ogino S","Annu Rev Pathol","2019","2018/08/21","PMC6345592","NIHMS986494","10.1146/annurev-pathmechdis-012418-012818"
"24099497","Neuroimaging-based biomarkers in psychiatry: clinical opportunities of a paradigm shift","Fu CH, Costafreda SG.","Can J Psychiatry. 2013 Sep;58(9):499-508. doi: 10.1177/070674371305800904.","Fu CH","Can J Psychiatry","2013","2013/10/09","","","10.1177/070674371305800904"
"34319248","Safety and Acceptability of a Natural Language Artificial Intelligence Assistant to Deliver Clinical Follow-up to Cataract Surgery Patients: Proposal","de Pennington N, Mole G, Lim E, Milne-Ives M, Normando E, Xue K, Meinert E.","JMIR Res Protoc. 2021 Jul 28;10(7):e27227. doi: 10.2196/27227.","de Pennington N","JMIR Res Protoc","2021","2021/07/28","","","10.2196/27227"
"33511368","SIMON: Open-Source Knowledge Discovery Platform","Tomic A, Tomic I, Waldron L, Geistlinger L, Kuhn M, Spreng RL, Dahora LC, Seaton KE, Tomaras G, Hill J, Duggal NA, Pollock RD, Lazarus NR, Harridge SDR, Lord JM, Khatri P, Pollard AJ, Davis MM.","Patterns (N Y). 2021 Jan 8;2(1):100178. doi: 10.1016/j.patter.2020.100178. eCollection 2021 Jan 8.","Tomic A","Patterns (N Y)","2021","2021/01/29","PMC7815964","","10.1016/j.patter.2020.100178"
"30571466","Translational Medicine in the Era of Big Data and Machine Learning","Weintraub WS, Fahed AC, Rumsfeld JS.","Circ Res. 2018 Nov 9;123(11):1202-1204. doi: 10.1161/CIRCRESAHA.118.313944.","Weintraub WS","Circ Res","2018","2018/12/21","","","10.1161/CIRCRESAHA.118.313944"
"23633944","Chapter 16: text mining for translational bioinformatics","Cohen KB, Hunter LE.","PLoS Comput Biol. 2013 Apr;9(4):e1003044. doi: 10.1371/journal.pcbi.1003044. Epub 2013 Apr 25.","Cohen KB","PLoS Comput Biol","2013","2013/05/02","PMC3635962","","10.1371/journal.pcbi.1003044"
"23686936","A flexible framework for recognizing events, temporal expressions, and temporal relations in clinical text","Roberts K, Rink B, Harabagiu SM.","J Am Med Inform Assoc. 2013 Sep-Oct;20(5):867-75. doi: 10.1136/amiajnl-2013-001619. Epub 2013 May 18.","Roberts K","J Am Med Inform Assoc","2013","2013/05/21","PMC3756268","","10.1136/amiajnl-2013-001619"
"30411216","The Continuing Evolution of Molecular Functional Imaging in Clinical Oncology: The Road to Precision Medicine and Radiogenomics (Part I)","Vaidya T, Agrawal A, Mahajan S, Thakur MH, Mahajan A.","Mol Diagn Ther. 2019 Feb;23(1):1-26. doi: 10.1007/s40291-018-0366-4.","Vaidya T","Mol Diagn Ther","2019","2018/11/10","","","10.1007/s40291-018-0366-4"
"30387041","The Continuing Evolution of Molecular Functional Imaging in Clinical Oncology: The Road to Precision Medicine and Radiogenomics (Part II)","Vaidya T, Agrawal A, Mahajan S, Thakur MH, Mahajan A.","Mol Diagn Ther. 2019 Feb;23(1):27-51. doi: 10.1007/s40291-018-0367-3.","Vaidya T","Mol Diagn Ther","2019","2018/11/03","","","10.1007/s40291-018-0367-3"
